q, p, r, n, CN, PCN, gens
2, 2, 1, 3, 3*, 3, (1 1 1)*: 1 (3 1 1)*: 3
3, 3, 1, 3, 18*, 9, (1 1 3)*: 18
4, 2, 2, 3, 27*, 18, (1 1 1)*: 3 (3 1 1)*: 9
5, 5, 1, 3, 96*, 48, (1 1 1)*: 4 (3 1 1)*: 24
7, 7, 1, 3, 216*, 72, (1 1 1)*: 6 (3 1 1)*: 36
8, 2, 3, 3, 441*, 378, (1 1 1)*: 7 (3 1 1)*: 63
9, 3, 2, 3, 648*, 264, (1 1 3)*: 648
11, 11, 1, 3, 1200*, 384, (1 1 1)*: 10 (3 1 1)*: 120
13, 13, 1, 3, 1728*, 576, (1 1 1)*: 12 (3 1 1)*: 144
16, 2, 4, 3, 3375*, 1440, (1 1 1)*: 15 (3 1 1)*: 225
17, 17, 1, 3, 4608*, 2304, (1 1 1)*: 16 (3 1 1)*: 288
19, 19, 1, 3, 5832*, 1944, (1 1 1)*: 18 (3 1 1)*: 324
23, 23, 1, 3, 11616*, 4440, (1 1 1)*: 22 (3 1 1)*: 528
25, 5, 2, 3, 13824*, 3888, (1 1 1)*: 24 (3 1 1)*: 576
27, 3, 3, 3, 18954*, 8748, (1 1 3)*: 18954
29, 29, 1, 3, 23520*, 9180, (1 1 1)*: 28 (3 1 1)*: 840
31, 31, 1, 3, 27000*, 7200, (1 1 1)*: 30 (3 1 1)*: 900
32, 2, 5, 3, 31713*, 26100, (1 1 1)*: 31 (3 1 1)*: 1023
37, 37, 1, 3, 46656*, 13176, (1 1 1)*: 36 (3 1 1)*: 1296
41, 41, 1, 3, 67200*, 26880, (1 1 1)*: 40 (3 1 1)*: 1680
43, 43, 1, 3, 74088*, 21168, (1 1 1)*: 42 (3 1 1)*: 1764
47, 47, 1, 3, 101568*, 46596, (1 1 1)*: 46 (3 1 1)*: 2208
49, 7, 2, 3, 110592*, 34272, (1 1 1)*: 48 (3 1 1)*: 2304
53, 53, 1, 3, 146016*, 57744, (1 1 1)*: 52 (3 1 1)*: 2808
59, 59, 1, 3, 201840*, 97440, (1 1 1)*: 58 (3 1 1)*: 3480
61, 61, 1, 3, 216000*, 52848, (1 1 1)*: 60 (3 1 1)*: 3600
64, 2, 6, 3, 250047*, 134136, (1 1 1)*: 63 (3 1 1)*: 3969
67, 67, 1, 3, 287496*, 72000, (1 1 1)*: 66 (3 1 1)*: 4356
71, 71, 1, 3, 352800*, 120960, (1 1 1)*: 70 (3 1 1)*: 5040
73, 73, 1, 3, 373248*, 124416, (1 1 1)*: 72 (3 1 1)*: 5184
79, 79, 1, 3, 474552*, 122040, (1 1 1)*: 78 (3 1 1)*: 6084
81, 3, 4, 3, 524880*, 163584, (1 1 3)*: 524880
83, 83, 1, 3, 564816*, 260280, (1 1 1)*: 82 (3 1 1)*: 6888
89, 89, 1, 3, 696960*, 316800, (1 1 1)*: 88 (3 1 1)*: 7920
97, 97, 1, 3, 884736*, 294912, (1 1 1)*: 96 (3 1 1)*: 9216
121, 11, 2, 3, 1728000*, 364608, (1 1 1)*: 120 (3 1 1)*: 14400
125, 5, 3, 3, 1937376*, 887220, (1 1 1)*: 124 (3 1 1)*: 15624
128, 2, 7, 3, 2080641*, 1764882, (1 1 1)*: 127 (3 1 1)*: 16383
169, 13, 2, 3, 4741632*, 1325376, (1 1 1)*: 168 (3 1 1)*: 28224
243, 3, 5, 3, 14289858*, 5994450, (1 1 3)*: 14289858
256, 2, 8, 3, 16581375*, 6561792, (1 1 1)*: 255 (3 1 1)*: 65025
289, 17, 2, 3, 23887872*, 6283008, (1 1 1)*: 288 (3 1 1)*: 82944
343, 7, 3, 3, 40001688*, 12279276, (1 1 1)*: 342 (3 1 1)*: 116964
361, 19, 2, 3, 46656000*, 10584000, (1 1 1)*: 360 (3 1 1)*: 129600
512, 2, 9, 3, 133955073*, 113245776, (1 1 1)*: 511 (3 1 1)*: 262143
529, 23, 2, 3, 147197952*, 34848000, (1 1 1)*: 528 (3 1 1)*: 278784
625, 5, 4, 3, 242970624*, 61910784, (1 1 1)*: 624 (3 1 1)*: 389376
729, 3, 6, 3, 386889048*, 140901120, (1 1 3)*: 386889048
841, 29, 2, 3, 592704000*, 122760576, (1 1 1)*: 840 (3 1 1)*: 705600
961, 31, 2, 3, 884736000*, 191020032, (1 1 1)*: 960 (3 1 1)*: 921600
