q, p, r, n, CN, PCN, gens
5, 5, 1, 2, 16*, 8, (1 1 1)*: 4 (2 1 1)*: 4
5, 5, 1, 3, 96*, 48, (1 1 1)*: 4 (3 1 1)*: 24
5, 5, 1, 4, 256*, 64, (1 1 1)*: 4 (2 1 1)*: 4 (4 1 1)*: 16
5, 5, 1, 5, 2500*, 1130, (1 1 5)*: 2500
5, 5, 1, 6, 8448, 2376, (1 1 1)*: 4 (2 1 1)*: 4 (3 2 1): 528
5, 5, 1, 7, 62496*, 31248, (1 1 1)*: 4 (7 1 1)*: 15624
5, 5, 1, 8, 147456*, 44928, (1 1 1)*: 4 (2 1 1)*: 4 (4 1 1)*: 16 (8 1 1)*: 576
5, 5, 1, 9, 1499904*, 687132, (1 1 1)*: 4 (3 1 1)*: 24 (9 1 1)*: 15624
5, 5, 1, 10, 6250000*, 1862760, (1 1 5)*: 2500 (2 1 5)*: 2500
5, 5, 1, 11, 39037504*, 19518752, (1 1 1)*: 4 (11 1 1)*: 9759376
5, 5, 1, 12, 71368704, 18178944, (1 1 1)*: 4 (2 1 1)*: 4 (3 2 1): 576 (4 1 1)*: 16 (12 1 1): 576
25, 5, 2, 2, 576*, 192, (1 1 1)*: 24 (2 1 1)*: 24
25, 5, 2, 3, 13824*, 3888, (1 1 1)*: 24 (3 1 1)*: 576
25, 5, 2, 4, 331776*, 101376, (1 1 1)*: 24 (2 1 1)*: 24 (4 1 1)*: 576
25, 5, 2, 5, 9375000*, 2796400, (1 1 5)*: 9375000
25, 5, 2, 6, 191102976*, 48691008, (1 1 1)*: 24 (2 1 1)*: 24 (3 1 1)*: 576 (6 1 1)*: 576
125, 5, 3, 3, 1937376*, 887220, (1 1 1)*: 124 (3 1 1)*: 15624
125, 5, 3, 4, 236421376*, 60235200, (1 1 1)*: 124 (2 1 1)*: 124 (4 1 1)*: 15376
625, 5, 4, 3, 242970624*, 61910784, (1 1 1)*: 624 (3 1 1)*: 389376
