p,	poly,	modulus
2,	x^22 + x^21 + x^14 + a,	a^2 + a + 1
3,	x^22 + x^21 + 2*x^2 + a,	a^2 + 2*a + 2
5,	x^22 + x^21 + (a + 2)*x + 4*a,	a^2 + 4*a + 2
7,	x^22 + x^21 + 3*a + 3,	a^2 + 6*a + 3
11,	x^22 + x^21 + x + 3*a,	a^2 + 7*a + 2
13,	x^22 + x^21 + 2*x + 6*a,	a^2 + 12*a + 2
17,	x^22 + x^21 + 6*a + 7,	a^2 + 16*a + 3
19,	x^22 + x^21 + 18*a,	a^2 + 18*a + 2
23,	x^22 + x^21 + a + 6,	a^2 + 21*a + 5
29,	x^22 + x^21 + 23*a,	a^2 + 24*a + 2
31,	x^22 + x^21 + a + 16,	a^2 + 29*a + 3
37,	x^22 + x^21 + 11*a,	a^2 + 33*a + 2
41,	x^22 + x^21 + 8*a,	a^2 + 38*a + 6
43,	x^22 + x^21 + 30*a,	a^2 + 42*a + 3
47,	x^22 + x^21 + a + 14,	a^2 + 45*a + 5
53,	x^22 + x^21 + a,	a^2 + 49*a + 2
59,	x^22 + x^21 + 9*a,	a^2 + 58*a + 2
61,	x^22 + x^21 + a,	a^2 + 60*a + 2
67,	x^22 + x^21 + 40*a,	a^2 + 63*a + 2
71,	x^22 + x^21 + 27*a,	a^2 + 69*a + 7
73,	x^22 + x^21 + 46*a,	a^2 + 70*a + 5
79,	x^22 + x^21 + 9*a,	a^2 + 78*a + 3
83,	x^22 + x^21 + 58*a,	a^2 + 82*a + 2
89,	x^22 + x^21 + 4*a,	a^2 + 82*a + 3
97,	x^22 + x^21 + 10*a,	a^2 + 96*a + 5
101,	x^22 + x^21 + 52*a,	a^2 + 97*a + 2
103,	x^22 + x^21 + 22*a,	a^2 + 102*a + 5
107,	x^22 + x^21 + 29*a,	a^2 + 103*a + 2
109,	x^22 + x^21 + 43*a,	a^2 + 108*a + 6
113,	x^22 + x^21 + 12*a,	a^2 + 101*a + 3
127,	x^22 + x^21 + a + 44,	a^2 + 126*a + 3
131,	x^22 + x^21 + 9*a,	a^2 + 127*a + 2
