p,	poly
2,	x^28 + x^27 + x^11 + x + 1
3,	x^28 + x^27 + x^15 + 2
5,	x^28 + x^27 + x^4 + 3
7,	x^28 + x^27 + 6*x + 3
11,	x^28 + x^27 + 10*x + 7
13,	x^28 + 2*x^27 + 5*x + 2
17,	x^28 + x^27 + x + 5
19,	x^28 + x^27 + x + 2
23,	x^28 + x^27 + 5*x + 19
29,	x^28 + x^27 + 16*x + 8
31,	x^28 + x^27 + 3*x + 12
37,	x^28 + x^27 + 4*x + 35
41,	x^28 + x^27 + 9*x + 15
43,	x^28 + x^27 + 7*x + 5
47,	x^28 + x^27 + 3*x + 15
53,	x^28 + x^27 + 2*x + 21
59,	x^28 + x^27 + x + 6
61,	x^28 + x^27 + 3*x + 31
67,	x^28 + x^27 + 6*x + 20
71,	x^28 + x^27 + 7
73,	x^28 + x^27 + 5
79,	x^28 + x^27 + 2*x + 35
83,	x^28 + x^27 + 2*x + 52
89,	x^28 + x^27 + 76
97,	x^28 + x^27 + x + 7
101,	x^28 + x^27 + 59
103,	x^28 + x^27 + 77
107,	x^28 + x^27 + 3*x + 17
109,	x^28 + x^27 + 4*x + 57
113,	x^28 + x^27 + 66
127,	x^28 + x^27 + 39
131,	x^28 + x^27 + 111
137,	x^28 + x^27 + 62
139,	x^28 + x^27 + 22
149,	x^28 + x^27 + 79
151,	x^28 + x^27 + 115
157,	x^28 + x^27 + 139
163,	x^28 + 2*x^27 + 117
167,	x^28 + x^27 + x + 151
173,	x^28 + x^27 + 58
179,	x^28 + x^27 + 2*x + 102
181,	x^28 + x^27 + 69
191,	x^28 + x^27 + 145
193,	x^28 + x^27 + 34
197,	x^28 + x^27 + 2*x + 115
199,	x^28 + x^27 + 87
211,	x^28 + 2*x^27 + 164
223,	x^28 + x^27 + 48
227,	x^28 + x^27 + 8
229,	x^28 + x^27 + 38
233,	x^28 + x^27 + 146
239,	x^28 + x^27 + 65
241,	x^28 + 2*x^27 + 189
251,	x^28 + x^27 + 54
257,	x^28 + x^27 + 230
263,	x^28 + x^27 + 21
269,	x^28 + x^27 + 85
271,	x^28 + x^27 + 6
277,	x^28 + x^27 + 44
