p,	n,	poly
2,	2,	x^2 + x + 1
2,	3,	x^3 + x^2 + 1
2,	4,	x^4 + x^3 + 1
2,	5,	x^5 + x^4 + x^2 + x + 1
2,	6,	x^6 + x^5 + x^4 + x + 1
2,	7,	x^7 + x^6 + 1
2,	8,	x^8 + x^7 + x^2 + x + 1
2,	9,	x^9 + x^8 + x^4 + x + 1
2,	10,	x^10 + x^9 + x^4 + x + 1
2,	11,	x^11 + x^10 + x^3 + x + 1
2,	12,	x^12 + x^11 + x^10 + x^4 + 1
2,	13,	x^13 + x^12 + x^2 + x + 1
2,	14,	x^14 + x^13 + x^3 + x^2 + 1
2,	15,	x^15 + x^14 + 1
2,	16,	x^16 + x^15 + x^4 + x + 1
2,	17,	x^17 + x^16 + x^3 + x + 1
2,	18,	x^18 + x^17 + x^5 + x + 1
2,	19,	x^19 + x^18 + x^5 + x + 1
2,	20,	x^20 + x^19 + x^16 + x^2 + 1
2,	21,	x^21 + x^20 + x^16 + x^2 + 1
2,	22,	x^22 + x^21 + 1
2,	23,	x^23 + x^22 + x^2 + x + 1
2,	24,	x^24 + x^23 + x^10 + x + 1
2,	25,	x^25 + x^24 + x^6 + x + 1
2,	26,	x^26 + x^25 + x^5 + x + 1
2,	27,	x^27 + x^26 + x^5 + x + 1
2,	28,	x^28 + x^27 + x^11 + x + 1
2,	29,	x^29 + x^28 + x^10 + x^2 + 1
2,	30,	x^30 + x^29 + x^22 + x^7 + 1
2,	31,	x^31 + x^30 + x^11 + x + 1
2,	32,	x^32 + x^31 + x^3 + x + 1
2,	33,	x^33 + x^32 + x^13 + x + 1
2,	34,	x^34 + x^33 + x^4 + x + 1
2,	35,	x^35 + x^34 + x^21 + x + 1
2,	36,	x^36 + x^35 + x^19 + x^4 + 1
2,	37,	x^37 + x^36 + x^4 + x^2 + 1
2,	38,	x^38 + x^37 + x^18 + x + 1
2,	39,	x^39 + x^38 + x^16 + x + 1
2,	40,	x^40 + x^39 + x^34 + x^2 + 1
2,	41,	x^41 + x^40 + x^18 + x + 1
2,	42,	x^42 + x^41 + x^6 + x^3 + 1
2,	43,	x^43 + x^42 + x^3 + x + 1
2,	44,	x^44 + x^43 + x^9 + x + 1
2,	45,	x^45 + x^44 + x^24 + x^2 + 1
2,	46,	x^46 + x^45 + x^9 + x + 1
2,	47,	x^47 + x^46 + x^12 + x + 1
2,	48,	x^48 + x^47 + x^40 + x + 1
2,	49,	x^49 + x^48 + x^4 + x + 1
2,	50,	x^50 + x^49 + x^21 + x + 1
2,	51,	x^51 + x^50 + x^35 + x^3 + 1
2,	52,	x^52 + x^51 + x^12 + x + 1
2,	53,	x^53 + x^52 + x^2 + x + 1
2,	54,	x^54 + x^53 + x^40 + x + 1
2,	55,	x^55 + x^54 + x^2 + x + 1
2,	56,	x^56 + x^55 + x^3 + x + 1
2,	57,	x^57 + x^56 + x^5 + x + 1
2,	58,	x^58 + x^57 + x^11 + x + 1
2,	59,	x^59 + x^58 + x^18 + x^2 + 1
2,	60,	x^60 + x^59 + x^11 + x^7 + 1
2,	61,	x^61 + x^60 + x^29 + x^2 + 1
2,	62,	x^62 + x^61 + x^3 + x + 1
2,	63,	x^63 + x^62 + 1
2,	64,	x^64 + x^63 + x^8 + x + 1
2,	65,	x^65 + x^64 + x^18 + x + 1
2,	66,	x^66 + x^65 + x^7 + x^2 + 1
2,	67,	x^67 + x^66 + x^9 + x + 1
2,	68,	x^68 + x^67 + x^21 + x + 1
2,	69,	x^69 + x^68 + x^8 + x^3 + 1
2,	70,	x^70 + x^69 + x^3 + x + 1
2,	71,	x^71 + x^70 + x^8 + x + 1
2,	72,	x^72 + x^71 + x^26 + x^4 + 1
2,	73,	x^73 + x^72 + x^10 + x + 1
2,	74,	x^74 + x^73 + x^37 + x^2 + 1
2,	75,	x^75 + x^74 + x^4 + x^2 + 1
2,	76,	x^76 + x^75 + x^3 + x + 1
2,	77,	x^77 + x^76 + x^23 + x^3 + 1
2,	78,	x^78 + x^77 + x^13 + x^4 + 1
2,	79,	x^79 + x^78 + x^19 + x + 1
2,	80,	x^80 + x^79 + x^38 + x + 1
2,	81,	x^81 + x^80 + x^10 + x + 1
2,	82,	x^82 + x^81 + x^9 + x + 1
2,	83,	x^83 + x^82 + x^5 + x + 1
2,	84,	x^84 + x^83 + x^82 + x^2 + 1
2,	85,	x^85 + x^84 + x^83 + x + 1
2,	86,	x^86 + x^85 + x^12 + x + 1
2,	87,	x^87 + x^86 + x^19 + x + 1
2,	88,	x^88 + x^87 + x^33 + x + 1
2,	89,	x^89 + x^88 + x^41 + x + 1
2,	90,	x^90 + x^89 + x^70 + x^5 + 1
2,	91,	x^91 + x^90 + x^14 + x + 1
2,	92,	x^92 + x^91 + x^55 + x^3 + 1
2,	93,	x^93 + x^92 + x^23 + x^2 + 1
2,	94,	x^94 + x^93 + x^13 + x + 1
2,	95,	x^95 + x^94 + x^12 + x + 1
2,	96,	x^96 + x^95 + x^86 + x + 1
2,	97,	x^97 + x^96 + x^4 + x + 1
2,	98,	x^98 + x^97 + x^62 + x + 1
2,	99,	x^99 + x^98 + x^64 + x^2 + 1
2,	100,	x^100 + x^99 + x^9 + x + 1
2,	101,	x^101 + x^100 + x^40 + x^2 + 1
2,	102,	x^102 + x^101 + x^54 + x^2 + 1
2,	103,	x^103 + x^102 + x^23 + x + 1
2,	104,	x^104 + x^103 + x^24 + x + 1
2,	105,	x^105 + x^104 + x^10 + x + 1
2,	106,	x^106 + x^105 + x^6 + x + 1
2,	107,	x^107 + x^106 + x^29 + x + 1
2,	108,	x^108 + x^107 + x^28 + x^2 + 1
2,	109,	x^109 + x^108 + x^59 + x^2 + 1
2,	110,	x^110 + x^109 + x^33 + x + 1
2,	111,	x^111 + x^110 + x^8 + x + 1
2,	112,	x^112 + x^111 + x^43 + x + 1
2,	113,	x^113 + x^112 + x^12 + x + 1
2,	114,	x^114 + x^113 + x^14 + x^2 + 1
2,	115,	x^115 + x^114 + x^13 + x + 1
2,	116,	x^116 + x^115 + x^8 + x + 1
2,	117,	x^117 + x^116 + x^108 + x^2 + 1
2,	118,	x^118 + x^117 + x^51 + x + 1
2,	119,	x^119 + x^118 + x^83 + x + 1
2,	120,	x^120 + x^119 + x^32 + x^6 + 1
2,	121,	x^121 + x^120 + x^11 + x + 1
2,	122,	x^122 + x^121 + x^26 + x + 1
2,	123,	x^123 + x^122 + x^31 + x^2 + 1
2,	124,	x^124 + x^123 + x^34 + x + 1
2,	125,	x^125 + x^124 + x^49 + x^2 + 1
2,	126,	x^126 + x^125 + x^62 + x^2 + 1
