p,	poly
2,	x^30 + x^29 + x^22 + x^7 + 1
3,	x^30 + x^29 + x^11 + 2
5,	x^30 + x^29 + 2*x^14 + 2
7,	x^30 + x^29 + 3*x^14 + 3
11,	x^30 + x^29 + 5*x + 8
13,	x^30 + x^29 + 12*x^2 + 6
17,	x^30 + x^29 + 3*x^2 + 3
19,	x^30 + x^29 + 3*x + 13
23,	x^30 + x^29 + x + 11
29,	x^30 + x^29 + 8
31,	x^30 + x^29 + 3*x + 22
37,	x^30 + x^29 + 3*x + 2
41,	x^30 + x^29 + 10*x + 6
43,	x^30 + x^29 + x + 5
47,	x^30 + x^29 + 2*x + 23
53,	x^30 + x^29 + 2*x + 41
59,	x^30 + x^29 + 2*x + 11
61,	x^30 + x^29 + 4*x + 54
67,	x^30 + x^29 + 7
71,	x^30 + x^29 + 35
73,	x^30 + x^29 + 4*x + 60
79,	x^30 + x^29 + 28
83,	x^30 + x^29 + x + 46
89,	x^30 + x^29 + 13
97,	x^30 + x^29 + 14
101,	x^30 + x^29 + 8
103,	x^30 + x^29 + 2*x + 62
107,	x^30 + x^29 + 22
109,	x^30 + x^29 + x + 42
113,	x^30 + 2*x^29 + 79
127,	x^30 + 2*x^29 + 112
131,	x^30 + x^29 + 76
137,	x^30 + x^29 + 27
139,	x^30 + x^29 + 109
149,	x^30 + x^29 + 3
151,	x^30 + x^29 + 56
157,	x^30 + x^29 + 96
163,	x^30 + x^29 + 147
167,	x^30 + x^29 + 158
173,	x^30 + x^29 + 143
179,	x^30 + x^29 + x + 78
181,	x^30 + x^29 + 90
191,	x^30 + x^29 + 110
193,	x^30 + x^29 + 47
197,	x^30 + x^29 + 12
199,	x^30 + x^29 + 54
211,	x^30 + x^29 + x + 127
223,	x^30 + x^29 + x + 45
227,	x^30 + x^29 + x + 55
229,	x^30 + x^29 + x + 38
233,	x^30 + x^29 + 138
239,	x^30 + x^29 + 2*x + 207
241,	x^30 + x^29 + 170
251,	x^30 + x^29 + 54
257,	x^30 + x^29 + 39
263,	x^30 + x^29 + 15
269,	x^30 + x^29 + x + 141
271,	x^30 + x^29 + 147
277,	x^30 + x^29 + 111
281,	x^30 + x^29 + 52
283,	x^30 + x^29 + x + 26
293,	x^30 + x^29 + 12
307,	x^30 + x^29 + 61
311,	x^30 + x^29 + 207
313,	x^30 + 2*x^29 + 191
317,	x^30 + x^29 + 68
331,	x^30 + x^29 + 40
337,	x^30 + x^29 + 247
347,	x^30 + x^29 + 20
349,	x^30 + x^29 + 40
353,	x^30 + x^29 + 282
359,	x^30 + x^29 + 78
367,	x^30 + x^29 + x + 58
373,	x^30 + x^29 + 141
379,	x^30 + x^29 + 7
383,	x^30 + x^29 + 111
389,	x^30 + x^29 + 37
397,	x^30 + x^29 + 211
401,	x^30 + x^29 + 167
409,	x^30 + x^29 + 237
419,	x^30 + x^29 + 44
421,	x^30 + x^29 + x + 14
431,	x^30 + x^29 + 156
433,	x^30 + x^29 + 346
439,	x^30 + x^29 + 159
443,	x^30 + x^29 + 216
449,	x^30 + x^29 + 30
457,	x^30 + x^29 + 69
461,	x^30 + x^29 + 2
463,	x^30 + x^29 + 227
467,	x^30 + x^29 + 87
479,	x^30 + x^29 + 78
487,	x^30 + x^29 + 192
491,	x^30 + x^29 + 296
499,	x^30 + x^29 + 7
503,	x^30 + x^29 + 34
509,	x^30 + x^29 + 204
521,	x^30 + x^29 + 444
523,	x^30 + x^29 + 132
541,	x^30 + x^29 + 2
547,	x^30 + x^29 + 163
557,	x^30 + x^29 + 215
563,	x^30 + x^29 + 286
569,	x^30 + x^29 + 88
571,	x^30 + x^29 + 307
577,	x^30 + x^29 + 113
587,	x^30 + x^29 + 35
593,	x^30 + x^29 + 238
599,	x^30 + x^29 + 62
601,	x^30 + x^29 + x + 53
607,	x^30 + x^29 + 217
613,	x^30 + x^29 + 117
617,	x^30 + x^29 + 353
619,	x^30 + x^29 + 69
631,	x^30 + x^29 + 109
641,	x^30 + x^29 + 119
643,	x^30 + x^29 + 93
647,	x^30 + x^29 + 461
653,	x^30 + x^29 + 154
659,	x^30 + x^29 + 21
661,	x^30 + x^29 + 301
673,	x^30 + x^29 + 19
677,	x^30 + x^29 + 205
683,	x^30 + x^29 + 98
691,	x^30 + x^29 + 141
701,	x^30 + x^29 + 130
709,	x^30 + x^29 + 470
719,	x^30 + x^29 + 292
727,	x^30 + x^29 + 183
733,	x^30 + x^29 + 92
739,	x^30 + x^29 + 138
743,	x^30 + x^29 + 7
751,	x^30 + x^29 + 192
757,	x^30 + x^29 + 157
761,	x^30 + x^29 + 22
769,	x^30 + x^29 + 115
773,	x^30 + x^29 + 130
787,	x^30 + x^29 + 233
797,	x^30 + x^29 + 364
809,	x^30 + x^29 + 195
811,	x^30 + x^29 + 290
821,	x^30 + x^29 + 179
823,	x^30 + x^29 + 295
827,	x^30 + x^29 + 29
829,	x^30 + x^29 + 35
839,	x^30 + x^29 + 82
853,	x^30 + x^29 + 159
857,	x^30 + x^29 + 80
859,	x^30 + x^29 + 50
863,	x^30 + x^29 + 23
877,	x^30 + x^29 + 138
881,	x^30 + x^29 + 426
883,	x^30 + x^29 + 93
887,	x^30 + x^29 + 194
907,	x^30 + x^29 + 45
911,	x^30 + x^29 + 218
919,	x^30 + x^29 + 674
929,	x^30 + x^29 + 174
937,	x^30 + x^29 + 202
941,	x^30 + x^29 + 155
947,	x^30 + x^29 + 113
953,	x^30 + x^29 + 251
967,	x^30 + x^29 + 43
971,	x^30 + x^29 + 127
977,	x^30 + x^29 + 286
983,	x^30 + x^29 + 10
991,	x^30 + x^29 + 129
997,	x^30 + x^29 + 21
1009,	x^30 + x^29 + 257
1013,	x^30 + x^29 + 109
1019,	x^30 + x^29 + 408
1021,	x^30 + x^29 + 10
1031,	x^30 + x^29 + 201
1033,	x^30 + x^29 + 360
1039,	x^30 + x^29 + 31
1049,	x^30 + x^29 + 314
1051,	x^30 + x^29 + 164
1061,	x^30 + x^29 + 325
1063,	x^30 + x^29 + 39
1069,	x^30 + x^29 + 55
1087,	x^30 + x^29 + 352
1091,	x^30 + x^29 + 186
1093,	x^30 + x^29 + 157
1097,	x^30 + x^29 + 203
1103,	x^30 + x^29 + 28
1109,	x^30 + x^29 + 71
1117,	x^30 + x^29 + 2
1123,	x^30 + x^29 + 45
1129,	x^30 + x^29 + 114
1151,	x^30 + x^29 + 266
1153,	x^30 + x^29 + 28
1163,	x^30 + x^29 + 442
1171,	x^30 + x^29 + 327
1181,	x^30 + x^29 + 95
1187,	x^30 + x^29 + 76
1193,	x^30 + x^29 + 33
1201,	x^30 + x^29 + 77
1213,	x^30 + x^29 + 14
1217,	x^30 + x^29 + 136
1223,	x^30 + x^29 + 110
1229,	x^30 + x^29 + 173
1231,	x^30 + x^29 + 223
1237,	x^30 + x^29 + 52
1249,	x^30 + x^29 + 264
1259,	x^30 + x^29 + 424
1277,	x^30 + x^29 + 48
1279,	x^30 + x^29 + 44
1283,	x^30 + x^29 + 45
1289,	x^30 + x^29 + 719
1291,	x^30 + x^29 + 55
1297,	x^30 + x^29 + 146
1301,	x^30 + x^29 + 234
1303,	x^30 + x^29 + 71
1307,	x^30 + x^29 + 116
1319,	x^30 + x^29 + 732
1321,	x^30 + x^29 + 47
1327,	x^30 + x^29 + 110
1361,	x^30 + x^29 + 19
1367,	x^30 + x^29 + 56
1373,	x^30 + x^29 + 142
1381,	x^30 + x^29 + 44
1399,	x^30 + x^29 + 172
1409,	x^30 + x^29 + 24
1423,	x^30 + x^29 + 3
1427,	x^30 + x^29 + 23
1429,	x^30 + x^29 + 291
1433,	x^30 + x^29 + 10
1439,	x^30 + x^29 + 211
1447,	x^30 + x^29 + 71
1451,	x^30 + x^29 + 207
1453,	x^30 + x^29 + 167
1459,	x^30 + x^29 + 158
1471,	x^30 + x^29 + 285
1481,	x^30 + x^29 + 155
1483,	x^30 + x^29 + 249
1487,	x^30 + x^29 + 155
1489,	x^30 + x^29 + 107
1493,	x^30 + x^29 + 503
1499,	x^30 + x^29 + 140
1511,	x^30 + x^29 + 129
1523,	x^30 + x^29 + 6
1531,	x^30 + x^29 + 10
1543,	x^30 + x^29 + 54
1549,	x^30 + x^29 + 42
1553,	x^30 + x^29 + 26
1559,	x^30 + x^29 + 103
1567,	x^30 + x^29 + 40
1571,	x^30 + x^29 + 2
1579,	x^30 + x^29 + 18
1583,	x^30 + x^29 + 160
1597,	x^30 + x^29 + 364
1601,	x^30 + x^29 + 309
1607,	x^30 + x^29 + 259
1609,	x^30 + x^29 + 239
1613,	x^30 + x^29 + 245
1619,	x^30 + x^29 + 10
1621,	x^30 + x^29 + 18
1627,	x^30 + x^29 + 33
1637,	x^30 + x^29 + 2
1657,	x^30 + x^29 + 85
1663,	x^30 + x^29 + 205
1667,	x^30 + x^29 + 285
1669,	x^30 + x^29 + 162
1693,	x^30 + x^29 + 18
1697,	x^30 + x^29 + 149
1699,	x^30 + x^29 + 12
1709,	x^30 + x^29 + 249
1721,	x^30 + x^29 + 146
1723,	x^30 + x^29 + 3
1733,	x^30 + x^29 + 97
1741,	x^30 + x^29 + 10
1747,	x^30 + x^29 + 3
1753,	x^30 + x^29 + 120
1759,	x^30 + x^29 + 108
1777,	x^30 + x^29 + 122
1783,	x^30 + x^29 + 435
1787,	x^30 + x^29 + 135
1789,	x^30 + x^29 + 384
1801,	x^30 + x^29 + 66
1811,	x^30 + x^29 + 30
1823,	x^30 + x^29 + 45
1831,	x^30 + x^29 + 134
1847,	x^30 + x^29 + 218
1861,	x^30 + x^29 + 1110
1867,	x^30 + x^29 + 35
1871,	x^30 + x^29 + 14
1873,	x^30 + x^29 + 360
1877,	x^30 + x^29 + 53
1879,	x^30 + x^29 + 417
1889,	x^30 + x^29 + 6
1901,	x^30 + x^29 + 12
1907,	x^30 + x^29 + 80
1913,	x^30 + x^29 + 27
1931,	x^30 + x^29 + 230
1933,	x^30 + x^29 + 135
1949,	x^30 + x^29 + 193
1951,	x^30 + x^29 + 222
1973,	x^30 + x^29 + 139
1979,	x^30 + x^29 + 151
1987,	x^30 + x^29 + 192
1993,	x^30 + x^29 + 23
1997,	x^30 + x^29 + 73
1999,	x^30 + x^29 + 30
2003,	x^30 + x^29 + 151
2011,	x^30 + x^29 + 42
2017,	x^30 + x^29 + 148
2027,	x^30 + x^29 + 34
2029,	x^30 + x^29 + 1048
2039,	x^30 + x^29 + 61
2053,	x^30 + x^29 + 201
2063,	x^30 + x^29 + 414
2069,	x^30 + x^29 + 122
2081,	x^30 + x^29 + 122
2083,	x^30 + x^29 + 62
2087,	x^30 + x^29 + 13
2089,	x^30 + x^29 + 22
2099,	x^30 + x^29 + 293
2111,	x^30 + x^29 + 168
2113,	x^30 + x^29 + 47
2129,	x^30 + x^29 + 268
2131,	x^30 + x^29 + 410
2137,	x^30 + x^29 + 124
2141,	x^30 + x^29 + 8
2143,	x^30 + x^29 + 116
2153,	x^30 + x^29 + 21
2161,	x^30 + x^29 + 336
2179,	x^30 + x^29 + 15
2203,	x^30 + x^29 + 99
2207,	x^30 + x^29 + 348
2213,	x^30 + x^29 + 162
2221,	x^30 + x^29 + 11
2237,	x^30 + x^29 + 205
2239,	x^30 + x^29 + 71
2243,	x^30 + x^29 + 168
2251,	x^30 + x^29 + 155
2267,	x^30 + x^29 + 208
2269,	x^30 + x^29 + 154
2273,	x^30 + x^29 + 34
2281,	x^30 + x^29 + 56
2287,	x^30 + x^29 + 84
2293,	x^30 + x^29 + 105
2297,	x^30 + x^29 + 24
2309,	x^30 + x^29 + 300
2311,	x^30 + x^29 + 106
2333,	x^30 + x^29 + 13
2339,	x^30 + x^29 + 43
2341,	x^30 + x^29 + 84
2347,	x^30 + x^29 + 63
2351,	x^30 + x^29 + 212
2357,	x^30 + x^29 + 228
2371,	x^30 + x^29 + 260
2377,	x^30 + x^29 + 30
2381,	x^30 + x^29 + 300
2383,	x^30 + x^29 + 155
2389,	x^30 + x^29 + 47
2393,	x^30 + x^29 + 96
2399,	x^30 + x^29 + 39
2411,	x^30 + x^29 + 88
2417,	x^30 + x^29 + 101
2423,	x^30 + x^29 + 20
2437,	x^30 + x^29 + 166
2441,	x^30 + x^29 + 86
2447,	x^30 + x^29 + 120
2459,	x^30 + x^29 + 30
2467,	x^30 + x^29 + 5
2473,	x^30 + x^29 + 233
2477,	x^30 + x^29 + 188
2503,	x^30 + x^29 + 132
2521,	x^30 + x^29 + 143
2531,	x^30 + x^29 + 55
2539,	x^30 + x^29 + 40
2543,	x^30 + x^29 + 10
2549,	x^30 + x^29 + 23
2551,	x^30 + x^29 + 75
2557,	x^30 + x^29 + 320
2579,	x^30 + x^29 + 160
2591,	x^30 + x^29 + 610
2593,	x^30 + x^29 + 92
2609,	x^30 + x^29 + 1128
2617,	x^30 + x^29 + 5
2621,	x^30 + x^29 + 394
2633,	x^30 + x^29 + 104
2647,	x^30 + x^29 + 106
2657,	x^30 + x^29 + 137
2659,	x^30 + x^29 + 46
2663,	x^30 + x^29 + 122
2671,	x^30 + x^29 + 46
2677,	x^30 + x^29 + 86
2683,	x^30 + x^29 + 72
2687,	x^30 + x^29 + 511
2689,	x^30 + x^29 + 58
2693,	x^30 + x^29 + 58
2699,	x^30 + x^29 + 116
2707,	x^30 + x^29 + 56
2711,	x^30 + x^29 + 44
2713,	x^30 + x^29 + 177
