p,r,mipo
2,1,0:1 4:1 10:1 11:1 12:1 
2,2,0:1 1:1 10:1 23:1 24:1 
2,3,0:1 2:1 10:1 35:1 36:1 
2,4,0:1 1:1 8:1 47:1 48:1 
2,5,0:1 59:1 60:1 
2,6,0:1 1:1 4:1 71:1 72:1 
2,7,0:1 1:1 11:1 83:1 84:1 
2,8,0:1 1:1 10:1 95:1 96:1 
2,9,0:1 2:1 28:1 107:1 108:1 
2,10,0:1 2:1 49:1 119:1 120:1 
2,11,0:1 2:1 18:1 131:1 132:1 
2,12,0:1 2:1 30:1 143:1 144:1 
2,13,0:1 2:1 7:1 155:1 156:1 
2,14,0:1 2:1 61:1 167:1 168:1 
3,1,0:2 7:1 11:1 12:1 
3,2,0:2 1:2 7:2 23:1 24:1 
3,3,0:2 19:1 35:1 36:1 
3,4,0:2 2:1 11:2 47:1 48:1 
3,5,0:2 55:1 59:1 60:1 
3,6,0:2 1:2 27:2 71:1 72:1 
3,7,0:2 1:2 18:2 83:1 84:1 
3,8,0:2 2:1 15:2 95:1 96:1 
3,9,0:2 1:2 16:2 107:1 108:1 
5,1,0:2 6:2 11:1 12:1 
5,2,0:3 6:3 23:1 24:1 
5,3,0:3 17:1 35:1 36:1 
5,4,0:3 6:3 47:1 48:1 
5,5,0:2 42:2 59:1 60:1 
5,6,0:3 17:2 71:1 72:1 
7,1,0:3 1:1 11:1 12:1 
7,2,0:3 4:6 23:1 24:1 
7,3,0:3 6:3 35:1 36:1 
7,4,0:5 10:1 47:1 48:1 
7,5,0:3 10:1 59:1 60:1 
11,1,0:7 11:1 12:1 
11,2,0:8 23:1 24:1 
11,3,0:7 2:6 35:1 36:1 
11,4,0:8 2:1 47:2 48:1 
13,1,0:2 1:6 11:1 12:1 
13,2,0:2 1:1 23:1 24:1 
13,3,0:2 1:4 35:1 36:1 
17,1,0:3 1:4 11:1 12:1 
17,2,0:5 1:13 23:1 24:1 
17,3,0:11 2:1 35:1 36:1 
19,1,0:3 11:1 12:1 
19,2,0:2 1:13 23:1 24:1 
19,3,0:10 2:1 35:1 36:1 
23,1,0:10 1:22 11:1 12:1 
23,2,0:7 23:1 24:1 
23,3,0:17 35:1 36:1 
29,1,0:21 11:1 12:1 
29,2,0:15 23:1 24:1 
31,1,0:3 1:15 11:1 12:1 
31,2,0:11 1:6 23:1 24:1 
37,1,0:17 11:1 12:1 
37,2,0:13 1:25 23:1 24:1 
41,1,0:6 1:9 11:1 12:1 
41,2,0:6 23:1 24:1 
43,1,0:28 11:1 12:1 
43,2,0:3 1:4 23:1 24:1 
47,1,0:5 1:1 11:1 12:1 
47,2,0:5 1:31 23:1 24:1 
53,1,0:2 11:1 12:1 
53,2,0:5 1:4 23:1 24:1 
59,1,0:14 11:1 12:1 
59,2,0:32 23:1 24:1 
61,1,0:6 11:1 12:1 
61,2,0:2 1:43 23:1 24:1 
67,1,0:18 11:1 12:1 
