q,p,r,n,cn,pcn,gens
2,2,1,4,8,4,(1 1 4): 8
3,3,1,4,32,16,(1 1 1): 2 (2 1 1): 2 (4 1 1): 8
4,2,2,4,192,96,(1 1 4): 192
5,5,1,4,256,64,(1 1 1): 4 (2 1 1): 4 (4 1 1): 16
7,7,1,4,1728,480,(1 1 1): 6 (2 1 1): 6 (4 1 1): 48
8,2,3,4,3584,1512,(1 1 4): 3584
9,3,2,4,4096,1536,(1 1 1): 8 (2 1 1): 8 (4 1 1): 64
11,11,1,4,12000,3200,(1 1 1): 10 (2 1 1): 10 (4 1 1): 120
13,13,1,4,20736,4352,(1 1 1): 12 (2 1 1): 12 (4 1 1): 144
16,2,4,4,61440,30720,(1 1 4): 61440
17,17,1,4,65536,16896,(1 1 1): 16 (2 1 1): 16 (4 1 1): 256
19,19,1,4,116640,31104,(1 1 1): 18 (2 1 1): 18 (4 1 1): 360
23,23,1,4,255552,60640,(1 1 1): 22 (2 1 1): 22 (4 1 1): 528
25,5,2,4,331776,101376,(1 1 1): 24 (2 1 1): 24 (4 1 1): 576
27,3,3,4,492128,154368,(1 1 1): 26 (2 1 1): 26 (4 1 1): 728
29,29,1,4,614656,139776,(1 1 1): 28 (2 1 1): 28 (4 1 1): 784
31,31,1,4,864000,207360,(1 1 1): 30 (2 1 1): 30 (4 1 1): 960
32,2,5,4,1015808,465000,(1 1 4): 1015808
37,37,1,4,1679616,420864,(1 1 1): 36 (2 1 1): 36 (4 1 1): 1296
41,41,1,4,2560000,564224,(1 1 1): 40 (2 1 1): 40 (4 1 1): 1600
43,43,1,4,3259872,659712,(1 1 1): 42 (2 1 1): 42 (4 1 1): 1848
47,47,1,4,4672128,1036288,(1 1 1): 46 (2 1 1): 46 (4 1 1): 2208
49,7,2,4,5308416,1413120,(1 1 1): 48 (2 1 1): 48 (4 1 1): 2304
53,53,1,4,7311616,1794816,(1 1 1): 52 (2 1 1): 52 (4 1 1): 2704
59,59,1,4,11706720,3014144,(1 1 1): 58 (2 1 1): 58 (4 1 1): 3480
61,61,1,4,12960000,3340800,(1 1 1): 60 (2 1 1): 60 (4 1 1): 3600
64,2,6,4,16515072,6531840,(1 1 4): 16515072
67,67,1,4,19549728,4453760,(1 1 1): 66 (2 1 1): 66 (4 1 1): 4488
71,71,1,4,24696000,5644800,(1 1 1): 70 (2 1 1): 70 (4 1 1): 5040
73,73,1,4,26873856,6279168,(1 1 1): 72 (2 1 1): 72 (4 1 1): 5184
79,79,1,4,37964160,9345024,(1 1 1): 78 (2 1 1): 78 (4 1 1): 6240
81,3,4,4,40960000,14962688,(1 1 1): 80 (2 1 1): 80 (4 1 1): 6400
83,83,1,4,46314912,9351040,(1 1 1): 82 (2 1 1): 82 (4 1 1): 6888
89,89,1,4,59969536,13620480,(1 1 1): 88 (2 1 1): 88 (4 1 1): 7744
97,97,1,4,84934656,19390976,(1 1 1): 96 (2 1 1): 96 (4 1 1): 9216
121,11,2,4,207360000,54374400,(1 1 1): 120 (2 1 1): 120 (4 1 1): 14400
125,5,3,4,236421376,60235200,(1 1 1): 124 (2 1 1): 124 (4 1 1): 15376
128,2,7,4,266338304,131721408,(1 1 4): 266338304
169,13,2,4,796594176,171343872,(1 1 1): 168 (2 1 1): 168 (4 1 1): 28224
243,3,5,4,3458087072,1235872000,(1 1 1): 242 (2 1 1): 242 (4 1 1): 59048
