q,p,r,n,cn,pcn,gens
2,2,1,2,2,2,(1 1 2): 2
2,2,1,3,3,3,(1 1 1): 1 (3 1 1): 3
2,2,1,4,8,4,(1 1 4): 8
2,2,1,5,15,15,(1 1 1): 1 (5 1 1): 15
2,2,1,6,12,6,(3 1 2): 6 (1 1 2): 2
2,2,1,7,49,49,(7 1 1): 49 (1 1 1): 1
2,2,1,8,128,56,(1 1 8): 128
2,2,1,9,189,171,(1 1 1): 1 (3 1 1): 3 (9 1 1): 63
2,2,1,10,420,250,(5 1 2): 210 (1 1 2): 2
2,2,1,11,1023,957,(1 1 1): 1 (11 1 1): 1023
2,2,1,12,768,360,(1 1 4): 8 (3 1 4): 96
2,2,1,13,4095,4095,(1 1 1): 1 (13 1 1): 4095
2,2,1,14,6272,4074,(7 1 2): 3136 (1 1 2): 2
2,2,1,15,10125,8430,(15 1 1): 225 (1 1 1): 1 (3 1 1): 3 (5 1 1): 15
2,2,1,16,32768,16272,(1 1 16): 32768
2,2,1,17,65025,65025,(1 1 1): 1 (17 1 1): 65025
2,2,1,18,46872,24948,(9 1 2): 3906 (3 1 2): 6 (1 1 2): 2
2,2,1,19,262143,262143,(1 1 1): 1 (19 1 1): 262143
2,2,1,20,329280,150320,(5 1 4): 41160 (1 1 4): 8
2,2,1,21,259308,220374,(1 1 1): 1 (3 1 1): 3 (7 3 1): 86436
2,2,1,22,2091012,1317250,(11 1 2): 1045506 (1 1 2): 2
2,2,1,23,4190209,4099957,(23 1 1): 4190209 (1 1 1): 1
2,2,1,24,3145728,1246752,(1 1 8): 128 (3 1 8): 24576
4,2,2,2,12,8,(1 1 2): 12
4,2,2,3,27,18,(1 1 1): 3 (3 1 1): 9
4,2,2,4,192,96,(1 1 4): 192
4,2,2,5,675,400,(1 1 1): 3 (5 1 1): 225
4,2,2,6,1728,792,(3 1 2): 144 (1 1 2): 12
4,2,2,7,11907,7784,(7 1 1): 3969 (1 1 1): 3
4,2,2,8,49152,24448,(1 1 8): 49152
4,2,2,9,107163,57186,(1 1 1): 3 (3 1 1): 9 (9 1 1): 3969
4,2,2,10,529200,241400,(5 1 2): 44100 (1 1 2): 12
4,2,2,11,3139587,1978020,(1 1 1): 3 (11 1 1): 1046529
4,2,2,12,7077888,2803392,(1 1 4): 192 (3 1 4): 36864
4,2,2,13,50307075,33525908,(1 1 1): 3 (13 1 1): 16769025
4,2,2,14,195084288,96481224,(7 1 2): 16257024 (1 1 2): 12
8,2,3,2,56,36,(1 1 2): 56
8,2,3,3,441,378,(1 1 1): 7 (3 1 1): 63
8,2,3,4,3584,1512,(1 1 4): 3584
8,2,3,5,28665,23760,(1 1 1): 7 (5 1 1): 4095
8,2,3,6,218736,117288,(3 1 2): 3906 (1 1 2): 56
8,2,3,7,823543,698544,(7 1 1): 117649 (1 1 1): 7
8,2,3,8,14680064,5804640,(1 1 8): 14680064
8,2,3,9,110270727,93223872,(1 1 1): 7 (3 1 1): 63 (9 1 1): 250047
