q,p,r,n,cn,pcn,gens
2,2,1,2,2,2,(1 1 2): 2
2,2,1,3,3,3,(1 1 1): 1 (3 1 1): 3
2,2,1,4,8,4,(1 1 4): 8
2,2,1,5,15,15,(1 1 1): 1 (5 1 1): 15
2,2,1,6,12,6,(3 1 2): 6 (1 1 2): 2
2,2,1,7,49,49,(7 1 1): 49 (1 1 1): 1
2,2,1,8,128,56,(1 1 8): 128
2,2,1,9,189,171,(1 1 1): 1 (3 1 1): 3 (9 1 1): 63
2,2,1,10,420,250,(5 1 2): 210 (1 1 2): 2
2,2,1,11,1023,957,(1 1 1): 1 (11 1 1): 1023
2,2,1,12,768,360,(1 1 4): 8 (3 1 4): 96
2,2,1,13,4095,4095,(1 1 1): 1 (13 1 1): 4095
2,2,1,14,6272,4074,(7 1 2): 3136 (1 1 2): 2
2,2,1,15,10125,8430,(15 1 1): 225 (1 1 1): 1 (3 1 1): 3 (5 1 1): 15
2,2,1,16,32768,16272,(1 1 16): 32768
2,2,1,17,65025,65025,(1 1 1): 1 (17 1 1): 65025
2,2,1,18,46872,24948,(9 1 2): 3906 (3 1 2): 6 (1 1 2): 2
4,2,2,2,12,8,(1 1 2): 12
4,2,2,3,27,18,(1 1 1): 3 (3 1 1): 9
4,2,2,4,192,96,(1 1 4): 192
4,2,2,5,675,400,(1 1 1): 3 (5 1 1): 225
4,2,2,6,1728,792,(3 1 2): 144 (1 1 2): 12
4,2,2,7,11907,7784,(7 1 1): 3969 (1 1 1): 3
4,2,2,8,49152,24448,(1 1 8): 49152
4,2,2,9,107163,57186,(1 1 1): 3 (3 1 1): 9 (9 1 1): 3969
8,2,3,2,56,36,(1 1 2): 56
8,2,3,3,441,378,(1 1 1): 7 (3 1 1): 63
8,2,3,4,3584,1512,(1 1 4): 3584
8,2,3,5,28665,23760,(1 1 1): 7 (5 1 1): 4095
