p,	poly,	modulus
2,	x^24 + x^23 + x^6 + x + a,	a^2 + a + 1
3,	x^24 + x^23 + 2*x^4 + 2*a,	a^2 + 2*a + 2
5,	x^24 + x^23 + 2*x^2 + 4*a,	a^2 + 4*a + 2
7,	x^24 + x^23 + (4*a + 1)*x + 3*a + 3,	a^2 + 6*a + 3
11,	x^24 + x^23 + x + 6*a + 4,	a^2 + 7*a + 2
13,	x^24 + x^23 + 2*x + 7*a + 1,	a^2 + 12*a + 2
17,	x^24 + x^23 + 13*a + 3,	a^2 + 16*a + 3
19,	x^24 + x^23 + 2*a + 4,	a^2 + 18*a + 2
23,	x^24 + x^23 + 6*a,	a^2 + 21*a + 5
29,	x^24 + x^23 + 23*a,	a^2 + 24*a + 2
31,	x^24 + x^23 + 10*a,	a^2 + 29*a + 3
37,	x^24 + x^23 + 14*a,	a^2 + 33*a + 2
41,	x^24 + x^23 + 10*a,	a^2 + 38*a + 6
43,	x^24 + x^23 + a + 1,	a^2 + 42*a + 3
47,	x^24 + x^23 + 41*a,	a^2 + 45*a + 5
53,	x^24 + x^23 + 37*a,	a^2 + 49*a + 2
59,	x^24 + x^23 + 55*a,	a^2 + 58*a + 2
61,	x^24 + x^23 + 11*a + 7,	a^2 + 60*a + 2
67,	x^24 + x^23 + 33*a,	a^2 + 63*a + 2
71,	x^24 + x^23 + 69*a,	a^2 + 69*a + 7
73,	x^24 + x^23 + 10*a,	a^2 + 70*a + 5
79,	x^24 + x^23 + 68*a,	a^2 + 78*a + 3
83,	x^24 + x^23 + 3*a,	a^2 + 82*a + 2
89,	x^24 + x^23 + 20*a,	a^2 + 82*a + 3
97,	x^24 + x^23 + 57*a + 1,	a^2 + 96*a + 5
101,	x^24 + x^23 + 9*a,	a^2 + 97*a + 2
103,	x^24 + x^23 + 10*a,	a^2 + 102*a + 5
107,	x^24 + x^23 + 54*a,	a^2 + 103*a + 2
109,	x^24 + x^23 + 54*a,	a^2 + 108*a + 6
113,	x^24 + x^23 + 17*a,	a^2 + 101*a + 3
127,	x^24 + x^23 + 43*a,	a^2 + 126*a + 3
131,	x^24 + x^23 + 83*a,	a^2 + 127*a + 2
137,	x^24 + x^23 + 35*a,	a^2 + 131*a + 3
139,	x^24 + x^23 + 30*a,	a^2 + 138*a + 2
149,	x^24 + x^23 + 30*a,	a^2 + 145*a + 2
151,	x^24 + x^23 + 30*a,	a^2 + 149*a + 6
157,	x^24 + x^23 + 129*a,	a^2 + 152*a + 5
163,	x^24 + x^23 + 63*a,	a^2 + 159*a + 2
167,	x^24 + x^23 + 82*a,	a^2 + 166*a + 5
173,	x^24 + x^23 + 95*a,	a^2 + 169*a + 2
179,	x^24 + x^23 + 5*a,	a^2 + 172*a + 2
181,	x^24 + x^23 + 168*a,	a^2 + 177*a + 2
191,	x^24 + x^23 + 20*a,	a^2 + 190*a + 19
193,	x^24 + x^23 + 98*a,	a^2 + 192*a + 5
197,	x^24 + x^23 + 54*a,	a^2 + 192*a + 2
199,	x^24 + x^23 + 9*a,	a^2 + 193*a + 3
211,	x^24 + x^23 + 100*a,	a^2 + 207*a + 2
223,	x^24 + x^23 + 35*a,	a^2 + 221*a + 3
227,	x^24 + x^23 + 47*a,	a^2 + 220*a + 2
229,	x^24 + x^23 + 2*a,	a^2 + 228*a + 6
233,	x^24 + x^23 + 134*a,	a^2 + 232*a + 3
239,	x^24 + x^23 + 7*a,	a^2 + 237*a + 7
241,	x^24 + x^23 + 144*a,	a^2 + 238*a + 7
251,	x^24 + x^23 + 25*a,	a^2 + 242*a + 6
257,	x^24 + x^23 + 92*a,	a^2 + 251*a + 3
