p,	poly
2,	x^14 + x^13 + x^3 + x^2 + 1
3,	x^14 + x^13 + x^5 + 2
5,	x^14 + x^13 + x^3 + 3
7,	x^14 + x^13 + 2*x + 5
11,	x^14 + x^13 + x + 2
13,	x^14 + x^13 + 2
17,	x^14 + x^13 + x + 6
19,	x^14 + x^13 + x + 14
23,	x^14 + x^13 + 20
29,	x^14 + x^13 + 9*x + 8
31,	x^14 + x^13 + 13
37,	x^14 + x^13 + 17
41,	x^14 + x^13 + 11
43,	x^14 + x^13 + 33
47,	x^14 + x^13 + 10
53,	x^14 + x^13 + 22
59,	x^14 + x^13 + x + 40
61,	x^14 + x^13 + 54
67,	x^14 + x^13 + 28
71,	x^14 + x^13 + 11
73,	x^14 + x^13 + 15
79,	x^14 + x^13 + 35
83,	x^14 + x^13 + 18
89,	x^14 + x^13 + 59
97,	x^14 + x^13 + 13
101,	x^14 + x^13 + 7
103,	x^14 + x^13 + 11
107,	x^14 + x^13 + x + 18
109,	x^14 + x^13 + 85
113,	x^14 + x^13 + 70
127,	x^14 + x^13 + 91
131,	x^14 + x^13 + 104
137,	x^14 + x^13 + 12
139,	x^14 + 2*x^13 + 115
149,	x^14 + x^13 + 48
151,	x^14 + x^13 + 54
157,	x^14 + x^13 + 72
163,	x^14 + x^13 + 18
167,	x^14 + x^13 + x + 71
173,	x^14 + x^13 + 30
179,	x^14 + x^13 + 7
181,	x^14 + x^13 + 47
191,	x^14 + x^13 + 126
193,	x^14 + x^13 + 15
197,	x^14 + x^13 + 71
199,	x^14 + x^13 + 73
211,	x^14 + x^13 + 2
223,	x^14 + x^13 + 61
227,	x^14 + x^13 + 20
229,	x^14 + x^13 + 170
233,	x^14 + x^13 + 39
239,	x^14 + x^13 + 53
241,	x^14 + x^13 + 34
251,	x^14 + x^13 + 11
257,	x^14 + x^13 + 63
263,	x^14 + x^13 + 10
269,	x^14 + x^13 + 50
271,	x^14 + x^13 + 76
277,	x^14 + x^13 + 18
281,	x^14 + x^13 + 48
283,	x^14 + x^13 + 12
293,	x^14 + x^13 + 117
307,	x^14 + x^13 + 300
311,	x^14 + x^13 + 302
313,	x^14 + x^13 + 55
317,	x^14 + x^13 + 32
331,	x^14 + x^13 + 37
337,	x^14 + x^13 + 10
347,	x^14 + x^13 + 21
349,	x^14 + x^13 + 54
353,	x^14 + x^13 + 12
359,	x^14 + x^13 + 86
367,	x^14 + x^13 + 6
373,	x^14 + x^13 + 47
379,	x^14 + x^13 + 155
383,	x^14 + x^13 + 53
389,	x^14 + x^13 + 12
397,	x^14 + x^13 + 24
401,	x^14 + x^13 + 31
409,	x^14 + x^13 + 127
419,	x^14 + x^13 + 6
421,	x^14 + x^13 + 168
431,	x^14 + x^13 + 13
433,	x^14 + x^13 + 62
439,	x^14 + x^13 + 37
443,	x^14 + x^13 + 85
449,	x^14 + x^13 + 6
457,	x^14 + x^13 + 89
461,	x^14 + x^13 + 79
463,	x^14 + x^13 + 28
467,	x^14 + x^13 + 31
479,	x^14 + x^13 + 31
487,	x^14 + x^13 + 11
491,	x^14 + x^13 + 6
499,	x^14 + x^13 + 60
503,	x^14 + x^13 + 82
509,	x^14 + x^13 + 2
521,	x^14 + x^13 + 78
523,	x^14 + x^13 + 18
541,	x^14 + x^13 + 24
547,	x^14 + x^13 + 18
557,	x^14 + x^13 + 41
563,	x^14 + x^13 + 15
569,	x^14 + x^13 + 58
571,	x^14 + x^13 + 77
577,	x^14 + x^13 + 45
587,	x^14 + x^13 + 8
593,	x^14 + x^13 + 63
599,	x^14 + x^13 + 44
601,	x^14 + x^13 + 33
607,	x^14 + x^13 + 66
613,	x^14 + x^13 + 53
617,	x^14 + x^13 + 58
619,	x^14 + x^13 + 97
631,	x^14 + x^13 + 117
641,	x^14 + x^13 + 187
643,	x^14 + x^13 + 13
647,	x^14 + x^13 + 19
653,	x^14 + x^13 + 8
659,	x^14 + x^13 + 84
661,	x^14 + x^13 + 23
673,	x^14 + x^13 + 88
677,	x^14 + x^13 + 83
683,	x^14 + x^13 + 54
691,	x^14 + x^13 + 74
701,	x^14 + x^13 + 40
709,	x^14 + x^13 + 10
719,	x^14 + x^13 + 89
727,	x^14 + x^13 + 76
733,	x^14 + x^13 + 33
739,	x^14 + x^13 + 123
743,	x^14 + x^13 + 10
751,	x^14 + x^13 + 44
757,	x^14 + x^13 + 56
761,	x^14 + x^13 + 123
769,	x^14 + x^13 + 44
773,	x^14 + x^13 + 76
787,	x^14 + x^13 + 13
797,	x^14 + x^13 + 29
809,	x^14 + x^13 + 37
811,	x^14 + x^13 + 3
821,	x^14 + x^13 + 78
823,	x^14 + x^13 + 134
827,	x^14 + x^13 + 15
829,	x^14 + x^13 + 21
839,	x^14 + x^13 + 22
853,	x^14 + x^13 + 32
857,	x^14 + x^13 + 63
859,	x^14 + x^13 + 90
863,	x^14 + x^13 + 47
877,	x^14 + x^13 + 96
881,	x^14 + x^13 + 17
883,	x^14 + x^13 + 87
887,	x^14 + x^13 + 45
907,	x^14 + x^13 + 37
911,	x^14 + x^13 + 59
919,	x^14 + x^13 + 147
929,	x^14 + x^13 + 24
937,	x^14 + x^13 + 56
941,	x^14 + x^13 + 155
947,	x^14 + x^13 + 8
953,	x^14 + x^13 + 96
967,	x^14 + x^13 + 7
971,	x^14 + x^13 + 11
977,	x^14 + x^13 + 234
983,	x^14 + x^13 + 29
991,	x^14 + x^13 + 22
997,	x^14 + x^13 + 44
1009,	x^14 + x^13 + 52
1013,	x^14 + x^13 + 12
1019,	x^14 + x^13 + 294
1021,	x^14 + x^13 + 43
1031,	x^14 + x^13 + 109
1033,	x^14 + x^13 + 11
1039,	x^14 + x^13 + 75
1049,	x^14 + x^13 + 66
1051,	x^14 + x^13 + 117
1061,	x^14 + x^13 + 62
1063,	x^14 + x^13 + 110
1069,	x^14 + x^13 + 142
1087,	x^14 + x^13 + 28
1091,	x^14 + x^13 + 10
1093,	x^14 + x^13 + 41
1097,	x^14 + x^13 + 38
1103,	x^14 + x^13 + 20
1109,	x^14 + x^13 + 18
1117,	x^14 + x^13 + 29
1123,	x^14 + x^13 + 2
1129,	x^14 + x^13 + 22
1151,	x^14 + x^13 + 101
1153,	x^14 + x^13 + 110
1163,	x^14 + x^13 + 13
1171,	x^14 + x^13 + 18
1181,	x^14 + x^13 + 40
1187,	x^14 + x^13 + 53
1193,	x^14 + x^13 + 28
1201,	x^14 + x^13 + 73
1213,	x^14 + x^13 + 62
1217,	x^14 + x^13 + 44
1223,	x^14 + x^13 + 15
1229,	x^14 + x^13 + 12
1231,	x^14 + x^13 + 33
1237,	x^14 + x^13 + 7
1249,	x^14 + x^13 + 19
1259,	x^14 + x^13 + 74
1277,	x^14 + x^13 + 55
1279,	x^14 + x^13 + 31
1283,	x^14 + x^13 + 155
1289,	x^14 + x^13 + 13
1291,	x^14 + x^13 + 131
1297,	x^14 + x^13 + 45
1301,	x^14 + x^13 + 203
