p,	poly,	modulus
2,	x^30 + x^29 + x^19 + a,	a^2 + a + 1
3,	x^30 + x^29 + a*x^16 + a + 2,	a^2 + 2*a + 2
5,	x^30 + x^29 + 3*x + 3*a,	a^2 + 4*a + 2
7,	x^30 + x^29 + 6*x + 5*a,	a^2 + 6*a + 3
11,	x^30 + x^29 + x + 5*a,	a^2 + 7*a + 2
13,	x^30 + x^29 + 3*a + 6,	a^2 + 12*a + 2
17,	x^30 + x^29 + 2*a + 2,	a^2 + 16*a + 3
19,	x^30 + x^29 + 3*a + 10,	a^2 + 18*a + 2
23,	x^30 + x^29 + 4*a + 18,	a^2 + 21*a + 5
29,	x^30 + x^29 + 3*a,	a^2 + 24*a + 2
31,	x^30 + x^29 + 12*a + 27,	a^2 + 29*a + 3
37,	x^30 + x^29 + 3*a,	a^2 + 33*a + 2
41,	x^30 + x^29 + 11*a,	a^2 + 38*a + 6
43,	x^30 + x^29 + 36*a,	a^2 + 42*a + 3
47,	x^30 + x^29 + 44*a,	a^2 + 45*a + 5
53,	x^30 + x^29 + a + 11,	a^2 + 49*a + 2
59,	x^30 + x^29 + 4*a,	a^2 + 58*a + 2
61,	x^30 + x^29 + a + 54,	a^2 + 60*a + 2
67,	x^30 + x^29 + 2*a + 16,	a^2 + 63*a + 2
71,	x^30 + x^29 + 44*a,	a^2 + 69*a + 7
73,	x^30 + x^29 + 3*a + 46,	a^2 + 70*a + 5
79,	x^30 + x^29 + 4*a + 36,	a^2 + 78*a + 3
83,	x^30 + x^29 + 4*a + 37,	a^2 + 82*a + 2
89,	x^30 + x^29 + 5*a,	a^2 + 82*a + 3
97,	x^30 + x^29 + 47*a,	a^2 + 96*a + 5
101,	x^30 + x^29 + 60*a,	a^2 + 97*a + 2
103,	x^30 + x^29 + 25*a,	a^2 + 102*a + 5
107,	x^30 + x^29 + 92*a,	a^2 + 103*a + 2
109,	x^30 + x^29 + 34*a,	a^2 + 108*a + 6
113,	x^30 + x^29 + 2*a + 106,	a^2 + 101*a + 3
127,	x^30 + x^29 + a,	a^2 + 126*a + 3
131,	x^30 + x^29 + a,	a^2 + 127*a + 2
137,	x^30 + x^29 + 24*a,	a^2 + 131*a + 3
139,	x^30 + x^29 + 8*a,	a^2 + 138*a + 2
149,	x^30 + x^29 + 82*a,	a^2 + 145*a + 2
151,	x^30 + x^29 + 77*a,	a^2 + 149*a + 6
157,	x^30 + x^29 + 8*a,	a^2 + 152*a + 5
163,	x^30 + x^29 + 146*a,	a^2 + 159*a + 2
167,	x^30 + x^29 + 78*a,	a^2 + 166*a + 5
173,	x^30 + x^29 + 54*a,	a^2 + 169*a + 2
179,	x^30 + x^29 + 7*a,	a^2 + 172*a + 2
181,	x^30 + x^29 + 56*a,	a^2 + 177*a + 2
191,	x^30 + x^29 + 22*a,	a^2 + 190*a + 19
193,	x^30 + x^29 + 10*a,	a^2 + 192*a + 5
197,	x^30 + x^29 + 140*a,	a^2 + 192*a + 2
199,	x^30 + x^29 + 25*a,	a^2 + 193*a + 3
211,	x^30 + x^29 + 58*a,	a^2 + 207*a + 2
223,	x^30 + x^29 + 70*a,	a^2 + 221*a + 3
227,	x^30 + x^29 + 49*a,	a^2 + 220*a + 2
229,	x^30 + x^29 + 34*a,	a^2 + 228*a + 6
233,	x^30 + x^29 + 8*a,	a^2 + 232*a + 3
239,	x^30 + x^29 + 33*a,	a^2 + 237*a + 7
241,	x^30 + x^29 + 87*a,	a^2 + 238*a + 7
251,	x^30 + x^29 + 32*a,	a^2 + 242*a + 6
257,	x^30 + x^29 + 60*a,	a^2 + 251*a + 3
263,	x^30 + x^29 + 108*a,	a^2 + 261*a + 5
269,	x^30 + x^29 + 48*a,	a^2 + 268*a + 2
271,	x^30 + x^29 + 65*a,	a^2 + 269*a + 6
277,	x^30 + x^29 + 49*a,	a^2 + 274*a + 5
281,	x^30 + x^29 + 3*a,	a^2 + 280*a + 3
